model,MAE,RMSE,R2,MAPE,seconds
LightGBM,21338.325632495857,30124.350363803547,0.5910734392537701,18.524430138467398,8.9
XGBoost,21851.304830772584,30607.41019823089,0.5778535828100988,18.967340370482553,19.4
ExtraTrees,21564.607455829882,31529.961200067602,0.5520218701032265,18.950941991213043,23.7
Ridge,22966.63727121014,32153.724632832913,0.5341216635545889,19.858401451069856,0.8
GradientBoosting,23467.81233142494,32226.760923106114,0.5320028004750362,20.401958172005536,2.2
CatBoost,23197.706079770236,32680.76929064876,0.5187236931460468,20.179846751763893,105.7
LinearRegression,23537.734688423352,32969.505783124965,0.5101819173804995,20.326615402106064,1.6
ElasticNet,24278.531122855227,34036.0996046878,0.47797715205818614,20.98542858809745,1.6
RandomForest,24118.474720538197,34100.270003683494,0.47600689147249053,20.968803590110074,4.0
Lasso,24562.49778343276,34512.236876270035,0.46326964590850295,21.249831574103254,18.5
